"...1";"ID";"CASRN";"DTXSID";"Name";"IUPAC.NAME";"Molecular.formula";"SMILES";"InChI.String";"InChIKey";"Averagre.mass..amu.";"Monoisotopic.mass..amu.";"ORLD50";"DMLC50";"TPIGC50";"FMLC50";"DT";"AM";"ToxPi"
23;23;"135-19-3";"DTXSID5027061";"2-Naphthalenol";"Naphthalen-2-ol";"C10H8O";"OC1=CC2=C(C=CC=C2)C=C1";"InChI=1S/C10H8O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11H";"JWAZRIHNYRIHIV-UHFFFAOYSA-N";"144.173";"144.0575149";"1.87";"4.61";"3.79";"4.62";"0.54";"0";"0.2473"
24;24;"140-66-9";"DTXSID9022360";"4-(1,1,3,3-Tetramethylbutyl)phenol";"4-(2,4,4-Trimethylpentan-2-yl)phenol";"C14H22O";"CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1";"InChI=1S/C14H22O/c1-13(2,3)10-14(4,5)11-6-8-12(15)9-7-11/h6-9,15H,10H2,1-5H3";"ISAVYTVYFVQUDY-UHFFFAOYSA-N";"206.329";"206.1670653";"1.65";"6.36";"5.1";"4.65";"0.75";"0";"0.3284"
25;25;"1563-38-8";"DTXSID2027414";"2,3-Dihydro-2,2-dimethyl-7-benzofuranol";"2,2-Dimethyl-2,3-dihydro-1-benzofuran-7-ol";"C10H12O2";"CC1(C)CC2=C(O1)C(O)=CC=C2";"InChI=1S/C10H12O2/c1-10(2)6-7-4-3-5-8(11)9(7)12-10/h3-5,11H,6H2,1-2H3";"WJGPNUBJBMCRQH-UHFFFAOYSA-N";"164.204";"164.0837296";"N/A";"4.32";"3.38";"3.57";"0.81";"0.01";"0.0833"
26;26;"1912-24-9";"DTXSID9020112";"Atrazine";"6-Chloro-N~2~-ethyl-N~4~-(propan-2-yl)-1,3,5-triazine-2,4-diamine";"C8H14ClN5";"CCNC1=NC(NC(C)C)=NC(Cl)=N1";"InChI=1S/C8H14ClN5/c1-4-10-7-12-6(9)13-8(14-7)11-5(2)3/h5H,4H2,1-3H3,(H2,10,11,12,13,14)";"MXWJVTOOROXGIU-UHFFFAOYSA-N";"215.69";"215.0937732";"2.51";"3.6";"N/A";"4.16";"0.56";"0";"0.2898"
27;27;"298-06-6";"DTXSID6027133";"O,O-Diethyl dithiophosphate";"O,O-Diethyl hydrogen phosphorodithioate";"C4H11O2PS2";"CCOP(S)(=S)OCC";"InChI=1S/C4H11O2PS2/c1-3-5-7(8,9)6-4-2/h3-4H2,1-2H3,(H,8,9)";"IRDLUHRVLVEUHA-UHFFFAOYSA-N";"186.22";"185.9938089";"1.62";"7.15";"N/A";"3.66";"0.65";"0.67";"0.0945"
28;28;"3380-34-5";"DTXSID5032498";"Triclosan";"5-Chloro-2-(2,4-dichlorophenoxy)phenol";"C12H7Cl3O2";"OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1";"InChI=1S/C12H7Cl3O2/c13-7-1-3-11(9(15)5-7)17-12-4-2-8(14)6-10(12)16/h1-6,16H";"XEFQLINVKFYRCS-UHFFFAOYSA-N";"289.54";"287.9511626";"1.89";"6.11";"5.57";"5.99";"0.63";"0.4";"0.3349"
29;29;"57-13-6";"DTXSID4021426";"Urea";"Urea";"CH4N2O";"NC(N)=O";"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)";"XSQUKJJJFZCRTK-UHFFFAOYSA-N";"60.056";"60.03236276";"0.85";"3.04";"N/A";"2.11";"0.99";"0";"0.1078"
30;30;"583-78-8";"DTXSID7025003";"2,5-Dichlorophenol";"2,5-Dichlorophenol";"C6H4Cl2O";"OC1=CC(Cl)=CC=C1Cl";"InChI=1S/C6H4Cl2O/c7-4-1-2-5(8)6(9)3-4/h1-3,9H";"RANCECPPZPIPNO-UHFFFAOYSA-N";"163";"161.9639201";"2.45";"4.72";"4.13";"4.37";"0.8";"0";"0.1545"
31;31;"60-51-5";"DTXSID7020479";"Dimethoate";"O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate";"C5H12NO3PS2";"CNC(=O)CSP(=S)(OC)OC";"InChI=1S/C5H12NO3PS2/c1-6-5(7)4-12-10(11,8-2)9-3/h4H2,1-3H3,(H,6,7)";"MCWXGJITAZMZEV-UHFFFAOYSA-N";"229.25";"228.9996226";"3.58";"5.13";"N/A";"4.34";"0.72";"1";"0.1837"
32;32;"1976-3-9";"DTXSID1021378";"Trichloroacetic acid";"Trichloroacetic acid";"C2HCl3O2";"OC(=O)C(Cl)(Cl)Cl";"InChI=1S/C2HCl3O2/c3-2(4,5)1(6)7/h(H,6,7)";"YNJBWRMUSHSURL-UHFFFAOYSA-N";"163.38";"161.9042124";"N/A";"4.13";"3.6";"1.91";"1";"0";"0.075"
