"...1";"ID";"CASRN";"DTXSID";"Name";"IUPAC.NAME";"Molecular.formula";"SMILES";"InChI.String";"InChIKey";"Averagre.mass..amu.";"Monoisotopic.mass..amu.";"ORLD50";"DMLC50";"TPIGC50";"FMLC50";"DT";"AM";"ToxPi"
551;551;"1702-17-6";"DTXSID9029221";"Clopyralid";"3,6-Dichloropyridine-2-carboxylic acid";"C6H3Cl2NO2";"OC(=O)C1=C(Cl)C=CC(Cl)=N1";"InChI=1S/C6H3Cl2NO2/c7-3-1-2-4(8)9-5(3)6(10)11/h1-2H,(H,10,11)";"HUBANNPOLNYSAD-UHFFFAOYSA-N";"192";"190.9540837";"1.65";"3.6";"2.62";"3.56";"0.26";"0.11";"0.1136"
552;552;"1704-62-7";"DTXSID1027427";"2-[2-(Dimethylamino)ethoxy]ethanol";"2-[2-(Dimethylamino)ethoxy]ethan-1-ol";"C6H15NO2";"CN(C)CCOCCO";"InChI=1S/C6H15NO2/c1-7(2)3-5-9-6-4-8/h8H,3-6H2,1-2H3";"YSAANLSYLSUVHB-UHFFFAOYSA-N";"133.191";"133.1102787";"1.75";"2.27";"1.39";"1.42";"0.45";"0.05";"0.0177"
553;553;"1724-39-6";"DTXSID1027429";"Cyclododecanol";"Cyclododecanol";"C12H24O";"OC1CCCCCCCCCCC1";"InChI=1S/C12H24O/c13-12-10-8-6-4-2-1-3-5-7-9-11-12/h12-13H,1-11H2";"SFVWPXMPRCIVOK-UHFFFAOYSA-N";"184.323";"184.1827154";"N/A";"3.91";"4.67";"4.77";"0.52";"-0.01";"0.1667"
554;554;"17321-47-0";"DTXSID4027789";"O,O-Dimethyl phosphoramidothioate";"O,O-Dimethyl phosphoramidothioate";"C2H8NO2PS";"COP(N)(=S)OC";"InChI=1S/C2H8NO2PS/c1-4-6(3,7)5-2/h1-2H3,(H2,3,7)";"NKYPKIVMIGIWOB-UHFFFAOYSA-N";"141.12";"141.0013367";"2.54";"5.81";"N/A";"N/A";"0.83";"0.25";"0.1139"
555;555;"1738-25-6";"DTXSID0027432";"3-Dimethylaminopropionitrile";"3-(Dimethylamino)propanenitrile";"C5H10N2";"CN(C)CCC#N";"InChI=1S/C5H10N2/c1-7(2)5-3-4-6/h3,5H2,1-2H3";"MTPJEFOSTIKRSS-UHFFFAOYSA-N";"98.149";"98.08439833";"1.64";"2.79";"1.71";"2.45";"0.31";"0.21";"0.0152"
556;556;"1742-14-9";"DTXSID9029223";"1,1-Bis(3,4-dimethylphenyl)ethane";"1,1'-(Ethane-1,1-diyl)bis(3,4-dimethylbenzene)";"C18H22";"CC(C1=CC=C(C)C(C)=C1)C1=CC=C(C)C(C)=C1";"InChI=1S/C18H22/c1-12-6-8-17(10-14(12)3)16(5)18-9-7-13(2)15(4)11-18/h6-11,16H,1-5H3";"NCSVCMFDHINRJE-UHFFFAOYSA-N";"238.374";"238.1721507";"N/A";"6.02";"5.17";"5.31";"0.75";"N/A";"0.2384"
557;557;"17540-75-9";"DTXSID8029315";"4-(Butan-2-yl)-2,6-di-tert-butylphenol";"4-(Butan-2-yl)-2,6-di-tert-butylphenol";"C18H30O";"CCC(C)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C";"InChI=1/C18H30O/c1-9-12(2)13-10-14(17(3,4)5)16(19)15(11-13)18(6,7)8/h10-12,19H,9H2,1-8H3";"BFZOTKYPSZSDEV-UHFFFAOYSA-N";"262.437";"262.2296656";"N/A";"6.07";"4.85";"5.93";"0.75";"-0.01";"0.192"
558;558;"1758-73-2";"DTXSID4029224";"Amino(imino)methanesulfinic acid";"Amino(imino)methanesulfinic acid";"CH4N2O2S";"NC(=N)S(O)=O";"InChI=1/CH4N2O2S/c2-1(3)6(4)5/h(H3,2,3)(H,4,5)";"FYOWZTWVYZOZSI-UHFFFAOYSA-N";"108.12";"107.9993486";"N/A";"N/A";"N/A";"N/A";"N/A";"0";"0.0179"
559;559;"1762-95-4";"DTXSID3029653";"Thiocyanic acid, ammonium salt";"Ammonium thiocyanate";"CH4N2S";"SC#N";"InChI=1S/CHNS.H3N/c2-1-3;/h3H;1H3";"SOIFLUNRINLCBN-UHFFFAOYSA-N";"76.12";"76.00951931";"N/A";"3.83";"N/A";"N/A";"N/A";"0.06";"0.1639"
560;560;"17689-77-9";"DTXSID3027792";"Ethyltriacetoxysilane";"Ethylsilanetriyl triacetate";"C8H14O6Si";"CC[Si](OC(C)=O)(OC(C)=O)OC(C)=O";"InChI=1S/C8H14O6Si/c1-5-15(12-6(2)9,13-7(3)10)14-8(4)11/h5H2,1-4H3";"KXJLGCBCRCSXQF-UHFFFAOYSA-N";"234.279";"234.0559647";"N/A";"N/A";"N/A";"N/A";"0.64";"0.17";"0.0549"
561;561;"17700-09-3";"DTXSID0026202";"2,3,4-Trichloronitrobenzene";"1,2,3-Trichloro-4-nitrobenzene";"C6H2Cl3NO2";"[O-][N+](=O)C1=CC=C(Cl)C(Cl)=C1Cl";"InChI=1S/C6H2Cl3NO2/c7-3-1-2-4(10(11)12)6(9)5(3)8/h1-2H";"BGKIECJVXXHLDP-UHFFFAOYSA-N";"226.44";"224.9151114";"N/A";"4.74";"4.51";"5.4";"0.29";"1";"0.0624"
562;562;"1772-25-4";"DTXSID4041234";"1,3,6-Hexanetricarbonitrile";"Hexane-1,3,6-tricarbonitrile";"C9H11N3";"N#CCCCC(CCC#N)C#N";"InChI=1/C9H11N3/c10-6-2-1-4-9(8-12)5-3-7-11/h9H,1-5H2";"LNLFLMCWDHZINJ-UHFFFAOYSA-N";"161.208";"161.0952974";"N/A";"4.48";"2.86";"4.12";"N/A";"0.21";"0.1639"
563;563;"1779-48-2";"DTXSID0027436";"Phenylphosphinic acid";"Phenylphosphinic acid";"C6H7O2P";"OP(=O)C1=CC=CC=C1";"InChI=1S/C6H7O2P/c7-9(8)6-4-2-1-3-5-6/h1-5,9H,(H,7,8)";"MLCHBQKMVKNBOV-UHFFFAOYSA-N";"142.094";"142.0183665";"2.02";"N/A";"N/A";"3.53";"0.35";"N/A";"0.0219"
564;564;"17796-82-6";"DTXSID8027793";"N-(Cyclohexylthio)phthalimide";"2-(Cyclohexylsulfanyl)-1H-isoindole-1,3(2H)-dione";"C14H15NO2S";"O=C1N(SC2CCCCC2)C(=O)C2=C1C=CC=C2";"InChI=1S/C14H15NO2S/c16-13-11-8-4-5-9-12(11)14(17)15(13)18-10-6-2-1-3-7-10/h4-5,8-10H,1-3,6-7H2";"UEZWYKZHXASYJN-UHFFFAOYSA-N";"261.34";"261.0823499";"2";"4.45";"N/A";"5.6";"0.67";"0";"0.223"
565;565;"17824-83-8";"DTXSID8027795";"3,4,5,6-Tetrachloropyridine-2-carbonitrile";"3,4,5,6-Tetrachloropyridine-2-carbonitrile";"C6Cl4N2";"ClC1=NC(C#N)=C(Cl)C(Cl)=C1Cl";"InChI=1S/C6Cl4N2/c7-3-2(1-11)12-6(10)5(9)4(3)8";"KFPBGJYBKSQIAI-UHFFFAOYSA-N";"241.88";"239.8815588";"N/A";"5.48";"4.71";"4.89";"0.1";"0.1";"0.2018"
566;566;"1806-26-4";"DTXSID9022312";"4-Octylphenol";"4-Octylphenol";"C14H22O";"CCCCCCCCC1=CC=C(O)C=C1";"InChI=1S/C14H22O/c1-2-3-4-5-6-7-8-13-9-11-14(15)12-10-13/h9-12,15H,2-8H2,1H3";"NTDQQZYCCIDJRK-UHFFFAOYSA-N";"206.329";"206.1670653";"N/A";"6.36";"5.27";"5.79";"0.5";"0";"0.263"
567;567;"1809-19-4";"DTXSID0027438";"Dibutyl phosphite";"Dibutyl phosphonate";"C8H19O3P";"CCCCOP(=O)OCCCC";"InChI=1S/C8H19O3P/c1-3-5-7-10-12(9)11-8-6-4-2/h12H,3-8H2,1-2H3";"NFJPGAKRJKLOJK-UHFFFAOYSA-N";"194.211";"194.1071815";"1.78";"N/A";"N/A";"3.94";"0.75";"N/A";"0.0355"
569;569;"18268-70-7";"DTXSID8027797";"Tetraethylene glycol di(2-ethylhexanoate)";"({Oxybis[(ethane-2,1-diyl)]oxy}ethane-2,1-diyl) bis(2-ethylhexanoate)";"C24H46O7";"CCCCC(CC)C(=O)OCCOCCOCCOCCOC(=O)C(CC)CCCC";"InChI=1/C24H46O7/c1-5-9-11-21(7-3)23(25)30-19-17-28-15-13-27-14-16-29-18-20-31-24(26)22(8-4)12-10-6-2/h21-22H,5-20H2,1-4H3";"GYHPTPQZVBYHLC-UHFFFAOYSA-N";"446.625";"446.3243538";"1.4";"5.2";"N/A";"4.99";"0.37";"0.43";"0.101"
570;570;"18328-90-0";"DTXSID3027798";"N-Ethyl-2-methylallylamine";"N-Ethyl-2-methylprop-2-en-1-amine";"C6H13N";"CCNCC(C)=C";"InChI=1S/C6H13N/c1-4-7-5-6(2)3/h7H,2,4-5H2,1,3H3";"AXTLFVLHXSDZOW-UHFFFAOYSA-N";"99.177";"99.10479942";"3.3";"4.08";"2.34";"2.92";"0.85";"0.23";"0.1402"
571;571;"1836-75-5";"DTXSID7020970";"Nitrofen";"2,4-Dichloro-1-(4-nitrophenoxy)benzene";"C12H7Cl2NO3";"[O-][N+](=O)C1=CC=C(OC2=C(Cl)C=C(Cl)C=C2)C=C1";"InChI=1S/C12H7Cl2NO3/c13-8-1-6-12(11(14)7-8)18-10-4-2-9(3-5-10)15(16)17/h1-7H";"XITQUSLLOSKDTB-UHFFFAOYSA-N";"284.09";"282.9802985";"2.58";"5.79";"5.49";"5.97";"0.7";"1";"0.2314"
572;572;"1843-05-6";"DTXSID9027441";"Octabenzone";"[2-Hydroxy-4-(octyloxy)phenyl](phenyl)methanone";"C21H26O3";"CCCCCCCCOC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1";"InChI=1S/C21H26O3/c1-2-3-4-5-6-10-15-24-18-13-14-19(20(22)16-18)21(23)17-11-8-7-9-12-17/h7-9,11-14,16,22H,2-6,10,15H2,1H3";"QUAMTGJKVDWJEQ-UHFFFAOYSA-N";"326.436";"326.1881947";"N/A";"5.12";"5.89";"6.14";"0.79";"0.23";"0.1544"
573;573;"18467-77-1";"DTXSID0047454";"Dikegulac";"-";"C12H18O7";"CC1(C)OC2C3OC(C)(C)OCC3OC2(O1)C(O)=O";"InChI=1S/C12H18O7/c1-10(2)15-5-6-7(17-10)8-12(16-6,9(13)14)19-11(3,4)18-8/h6-8H,5H2,1-4H3,(H,13,14)/t6-,7+,8-,12+/m0/s1";"FWCBATIDXGJRMF-FLNNQWSLSA-N";"274.269";"274.1052529";"N/A";"3.79";"N/A";"2.59";"0.72";"0.31";"0.1678"
574;574;"18479-58-8";"DTXSID8029317";"1,1,5-Trimethyl-6-heptenol";"2,6-Dimethyloct-7-en-2-ol";"C10H20O";"CC(CCCC(C)(C)O)C=C";"InChI=1/C10H20O/c1-5-9(2)7-6-8-10(3,4)11/h5,9,11H,1,6-8H2,2-4H3";"XSNQECSCDATQEL-UHFFFAOYSA-N";"156.269";"156.1514153";"1.64";"3.62";"3.31";"4.1";"0.76";"-0.05";"0.0291"
575;575;"1852-16-0";"DTXSID9027443";"N-(Butoxymethyl)acrylamide";"N-(Butoxymethyl)prop-2-enamide";"C8H15NO2";"CCCCOCNC(=O)C=C";"InChI=1S/C8H15NO2/c1-3-5-6-11-7-9-8(10)4-2/h4H,2-3,5-7H2,1H3,(H,9,10)";"UTSYWKJYFPPRAP-UHFFFAOYSA-N";"157.213";"157.1102787";"2.18";"3.28";"2.86";"3.48";"0.79";"0.28";"0.0418"
576;576;"18691-97-9";"DTXSID0037570";"Methabenzthiazuron";"N-1,3-Benzothiazol-2-yl-N,N'-dimethylurea";"C10H11N3OS";"CNC(=O)N(C)C1=NC2=C(S1)C=CC=C2";"InChI=1S/C10H11N3OS/c1-11-9(14)13(2)10-12-7-5-3-4-6-8(7)15-10/h3-6H,1-2H3,(H,11,14)";"RRVIAQKBTUQODI-UHFFFAOYSA-N";"221.28";"221.0622832";"N/A";"4.24";"N/A";"N/A";"0.7";"0";"0.2112"
577;577;"1873-88-7";"DTXSID1038795";"1,1,1,3,5,5,5-Heptamethyltrisiloxane";"1,1,1,3,5,5,5-Heptamethyltrisiloxane";"C7H22O2Si3";"C[SiH](O[Si](C)(C)C)O[Si](C)(C)C";"InChI=1S/C7H22O2Si3/c1-10(8-11(2,3)4)9-12(5,6)7/h10H,1-7H3";"QNWOFLWXQGHSRH-UHFFFAOYSA-N";"222.506";"222.0927596";"N/A";"N/A";"N/A";"N/A";"0.65";"0.09";"0.1161"
578;578;"1879-09-0";"DTXSID6041551";"Topanol A";"2-tert-Butyl-4,6-dimethylphenol";"C12H18O";"CC1=CC(C)=C(O)C(=C1)C(C)(C)C";"InChI=1S/C12H18O/c1-8-6-9(2)11(13)10(7-8)12(3,4)5/h6-7,13H,1-5H3";"OPLCSTZDXXUYDU-UHFFFAOYSA-N";"178.275";"178.1357652";"N/A";"5.23";"4.16";"4.62";"0.83";"-0.03";"0.1611"
579;579;"1897-45-6";"DTXSID0020319";"Chlorothalonil";"2,4,5,6-Tetrachlorobenzene-1,3-dicarbonitrile";"C8Cl4N2";"ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl";"InChI=1S/C8Cl4N2/c9-5-3(1-13)6(10)8(12)7(11)4(5)2-14";"CRQQGFGUEAVUIL-UHFFFAOYSA-N";"265.9";"263.8815588";"1.43";"6.21";"4.9";"5.27";"0.29";"0";"0.4804"
580;580;"1918-2-1";"DTXSID1021160";"Picloram";"4-Amino-3,5,6-trichloropyridine-2-carboxylic acid";"C6H3Cl3N2O2";"NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl";"InChI=1S/C6H3Cl3N2O2/c7-1-3(10)2(8)5(9)11-4(1)6(12)13/h(H2,10,11)(H,12,13)";"NQQVFXUMIDALNH-UHFFFAOYSA-N";"241.45";"239.9260104";"1.47";"3.64";"2.91";"3.64";"0.5";"0.34";"0.0847"
581;581;"19248-13-6";"DTXSID5027803";"N-Ethyl-N-(3-methylphenyl)ethane-1,2-diamine";"N~1~-Ethyl-N~1~-(3-methylphenyl)ethane-1,2-diamine";"C11H18N2";"CCN(CCN)C1=CC(C)=CC=C1";"InChI=1S/C11H18N2/c1-3-13(8-7-12)11-6-4-5-10(2)9-11/h4-6,9H,3,7-8,12H2,1-2H3";"FTMVEUXYYDLYFH-UHFFFAOYSA-N";"178.279";"178.1469986";"N/A";"4.85";"3.44";"3.37";"0.46";"0.43";"0.0989"
582;582;"1929-82-4";"DTXSID0024216";"Nitrapyrin";"2-Chloro-6-(trichloromethyl)pyridine";"C6H3Cl4N";"ClC1=CC=CC(=N1)C(Cl)(Cl)Cl";"InChI=1S/C6H3Cl4N/c7-5-3-1-2-4(11-5)6(8,9)10/h1-3H";"DCUJJWWUNKIJPH-UHFFFAOYSA-N";"230.9";"228.9019599";"2.39";"N/A";"N/A";"4.37";"0.44";"1";"0.1307"
583;583;"1934-21-0";"DTXSID1021455";"FD&C Yellow 5";"Trisodium 5-oxo-1-(4-sulfonatophenyl)-4-[(E)-(4-sulfonatophenyl)diazenyl]-2,5-dihydro-1H-pyrazole-3-carboxylate";"C16H9N4Na3O9S2";"OC(=O)C1=NN(C(=O)C1N=NC1=CC=C(C=C1)S(O)(=O)=O)C1=CC=C(C=C1)S(O)(=O)=O";"InChI=1S/C16H12N4O9S2.3Na/c21-15-13(18-17-9-1-5-11(6-2-9)30(24,25)26)14(16(22)23)19-20(15)10-3-7-12(8-4-10)31(27,28)29;;;/h1-8,19H,(H,22,23)(H,24,25,26)(H,27,28,29);;;/q;3*+1/p-3/b18-17+;;;";"ZLWLTDZLUVBSRJ-GLCFPVLVSA-K";"534.36";"533.9504031";"N/A";"N/A";"N/A";"N/A";"0.99";"N/A";"0.1993"
584;584;"1939-36-2";"DTXSID9029225";"Trimethylenediaminetetraacetic acid";"2,2',2'',2'''-(Propane-1,3-diyldinitrilo)tetraacetic acid";"C11H18N2O8";"OC(=O)CN(CCCN(CC(O)=O)CC(O)=O)CC(O)=O";"InChI=1S/C11H18N2O8/c14-8(15)4-12(5-9(16)17)2-1-3-13(6-10(18)19)7-11(20)21/h1-7H2,(H,14,15)(H,16,17)(H,18,19)(H,20,21)";"DMQQXDPCRUGSQB-UHFFFAOYSA-N";"306.271";"306.1063155";"2.28";"2.05";"2.36";"3.12";"0.13";"0.37";"0.1148"
585;585;"19438-60-9";"DTXSID8044333";"4-Methyl-1,2-cyclohexanedicarboxylic anhydride";"5-Methylhexahydro-2-benzofuran-1,3-dione";"C9H12O3";"CC1CCC2C(C1)C(=O)OC2=O";"InChI=1/C9H12O3/c1-5-2-3-6-7(4-5)9(11)12-8(6)10/h5-7H,2-4H2,1H3";"FKBMTBAXDISZGN-UHFFFAOYSA-N";"168.192";"168.0786442";"N/A";"N/A";"N/A";"N/A";"0.71";"0.36";"-"
586;586;"19438-61-0";"DTXSID5027805";"4-Methylphthalic anhydride";"5-Methyl-2-benzofuran-1,3-dione";"C9H6O3";"CC1=CC2=C(C=C1)C(=O)OC2=O";"InChI=1S/C9H6O3/c1-5-2-3-6-7(4-5)9(11)12-8(6)10/h2-4H,1H3";"ZOXBWJMCXHTKNU-UHFFFAOYSA-N";"162.144";"162.0316941";"N/A";"N/A";"N/A";"N/A";"0.5";"0.49";"0.0593"
587;587;"1948-33-0";"DTXSID6020220";"tert-Butylhydroquinone";"2-tert-Butylbenzene-1,4-diol";"C10H14O2";"CC(C)(C)C1=CC(O)=CC=C1O";"InChI=1S/C10H14O2/c1-10(2,3)8-6-7(11)4-5-9(8)12/h4-6,11-12H,1-3H3";"BGNXCDMCOKJUMV-UHFFFAOYSA-N";"166.22";"166.0993797";"2.38";"4.89";"4.07";"3.88";"0.84";"0";"0.2208"
588;588;"1984-58-3";"DTXSID8027452";"1,4-Dichloro-2-methoxybenzene";"1,4-Dichloro-2-methoxybenzene";"C7H6Cl2O";"COC1=CC(Cl)=CC=C1Cl";"InChI=1S/C7H6Cl2O/c1-10-7-4-5(8)2-3-6(7)9/h2-4H,1H3";"QKMNFFSBZRGHDJ-UHFFFAOYSA-N";"177.02";"175.9795702";"N/A";"4.53";"3.79";"4.43";"0.72";"0.02";"0.0384"
589;589;"20120-33-6";"DTXSID9040215";"3-(Dimethylphosphono)-N-methylolpropionamide";"Dimethyl {3-[(hydroxymethyl)amino]-3-oxopropyl}phosphonate";"C6H14NO5P";"COP(=O)(CCC(=O)NCO)OC";"InChI=1S/C6H14NO5P/c1-11-13(10,12-2)4-3-6(9)7-5-8/h8H,3-5H2,1-2H3,(H,7,9)";"MCONGYNHPPCHSD-UHFFFAOYSA-N";"211.154";"211.0609596";"1.21";"5.12";"1.83";"2.63";"0.92";"0.45";"0.049"
590;590;"20306-75-6";"DTXSID9040138";"N-Methylacetoacetamide";"N-Methyl-3-oxobutanamide";"C5H9NO2";"CNC(=O)CC(C)=O";"InChI=1S/C5H9NO2/c1-4(7)3-5(8)6-2/h3H2,1-2H3,(H,6,8)";"ATWLCPHWYPSRBQ-UHFFFAOYSA-N";"115.132";"115.0633285";"N/A";"2.34";"1.51";"2.09";"0.46";"0.12";"-"
591;591;"2044-64-6";"DTXSID8027454";"N,N-Dimethylacetoacetamide";"N,N-Dimethyl-3-oxobutanamide";"C6H11NO2";"CN(C)C(=O)CC(C)=O";"InChI=1S/C6H11NO2/c1-5(8)4-6(9)7(2)3/h4H2,1-3H3";"YPEWWOUWRRQBAX-UHFFFAOYSA-N";"129.159";"129.0789786";"0.73";"2.46";"1.42";"2.38";"0.72";"0.12";"0.0713"
592;592;"2050-92-2";"DTXSID4024931";"Dipentylamine";"N-Pentylpentan-1-amine";"C10H23N";"CCCCCNCCCCC";"InChI=1S/C10H23N/c1-3-5-7-9-11-10-8-6-4-2/h11H,3-10H2,1-2H3";"JACMPVXHEARCBO-UHFFFAOYSA-N";"157.301";"157.1830497";"2.77";"4.08";"4.17";"4.47";"0.65";"0";"0.0242"
593;593;"2100-42-7";"DTXSID3041403";"2-Chloro-1,4-dimethoxybenzene";"2-Chloro-1,4-dimethoxybenzene";"C8H9ClO2";"COC1=CC=C(OC)C(Cl)=C1";"InChI=1S/C8H9ClO2/c1-10-6-3-4-8(11-2)7(9)5-6/h3-5H,1-2H3";"QMXZSRVFIWACJH-UHFFFAOYSA-N";"172.61";"172.0291072";"N/A";"4.1";"3.18";"3.62";"0.56";"0.44";"0.0265"
594;594;"21145-77-7";"DTXSID7041544";"6-Acetyl-1,1,2,4,4,7-hexamethyltetralin";"1-(3,5,5,6,8,8-Hexamethyl-5,6,7,8-tetrahydronaphthalen-2-yl)ethan-1-one";"C18H26O";"CC1CC(C)(C)C2=C(C=C(C)C(=C2)C(C)=O)C1(C)C";"InChI=1/C18H26O/c1-11-8-16-15(9-14(11)13(3)19)17(4,5)10-12(2)18(16,6)7/h8-9,12H,10H2,1-7H3";"DNRJTBAOUJJKDY-UHFFFAOYSA-N";"258.405";"258.1983655";"2.66";"5.27";"5.17";"5.56";"0.71";"0";"0.2394"
595;595;"21282-97-3";"DTXSID7041388";"2-[Methacryloyloxy]ethyl acetoacetate";"2-[(2-Methylprop-2-enoyl)oxy]ethyl 3-oxobutanoate";"C10H14O5";"CC(=O)CC(=O)OCCOC(=O)C(C)=C";"InChI=1S/C10H14O5/c1-7(2)10(13)15-5-4-14-9(12)6-8(3)11/h1,4-6H2,2-3H3";"IBDVWXAVKPRHCU-UHFFFAOYSA-N";"214.217";"214.0841236";"N/A";"N/A";"3.04";"3.82";"0.45";"0.16";"0.0222"
596;596;"2155-70-6";"DTXSID9035204";"Tributyltin methacrylate";"Tributyl[(2-methylprop-2-enoyl)oxy]stannane";"C16H32O2Sn";"CCCC[Sn](CCCC)(CCCC)OC(=O)C(C)=C";"InChI=1S/C4H6O2.3C4H9.Sn/c1-3(2)4(5)6;3*1-3-4-2;/h1H2,2H3,(H,5,6);3*1,3-4H2,2H3;/q;;;;+1/p-1";"LPUCKLOWOWADAC-UHFFFAOYSA-M";"375.14";"376.142432";"N/A";"N/A";"N/A";"N/A";"0.4";"0.38";"0.4663"
597;597;"2176-62-7";"DTXSID2022179";"Pentachloropyridine";"Pentachloropyridine";"C5Cl5N";"ClC1=NC(Cl)=C(Cl)C(Cl)=C1Cl";"InChI=1S/C5Cl5N/c6-1-2(7)4(9)11-5(10)3(1)8";"DNDPLEAVNVOOQZ-UHFFFAOYSA-N";"251.31";"248.8473375";"2.76";"5.47";"4.71";"5.73";"0.44";"0.24";"0.2269"
598;598;"21829-25-4";"DTXSID2025715";"Nifedipine";"Dimethyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate";"C17H18N2O6";"COC(=O)C1C(C2=C(C=CC=C2)N(=O)=O)C(C(=O)OC)=C(C)N=C1C";"InChI=1S/C17H18N2O6/c1-9-13(16(20)24-3)15(14(10(2)18-9)17(21)25-4)11-7-5-6-8-12(11)19(22)23/h5-8,15,18H,1-4H3";"HYIMSNHJOBLJNT-UHFFFAOYSA-N";"346.339";"346.1164863";"N/A";"4.66";"N/A";"6.23";"0.88";"0.33";"0.1331"
599;599;"21850-44-2";"DTXSID3032129";"Tetrabromobisphenol A-bis(2,3-dibromopropyl ether)";"1,1'-(Propane-2,2-diyl)bis[3,5-dibromo-4-(2,3-dibromopropoxy)benzene]";"C21H20Br8O2";"CC(C)(C1=CC(Br)=C(OCC(Br)CBr)C(Br)=C1)C1=CC(Br)=C(OCC(Br)CBr)C(Br)=C1";"InChI=1/C21H20Br8O2/c1-21(2,11-3-15(26)19(16(27)4-11)30-9-13(24)7-22)12-5-17(28)20(18(29)6-12)31-10-14(25)8-23/h3-6,13-14H,7-10H2,1-2H3";"LXIZRZRTWSDLKK-UHFFFAOYSA-N";"943.621";"935.493034";"N/A";"9.13";"9.39";"9.41";"N/A";"0.2";"0.0792"
600;600;"2212-67-1";"DTXSID6024206";"Molinate";"S-Ethyl azepane-1-carbothioate";"C9H17NOS";"CCSC(=O)N1CCCCCC1";"InChI=1S/C9H17NOS/c1-2-12-9(11)10-7-5-3-4-6-8-10/h2-8H2,1H3";"DEDOPGXGGQYYMW-UHFFFAOYSA-N";"187.3";"187.1030853";"2.71";"4.44";"N/A";"3.84";"0.73";"0";"0.1533"
601;601;"22204-53-1";"DTXSID4040686";"Naproxen";"(2S)-2-(6-Methoxynaphthalen-2-yl)propanoic acid";"C14H14O3";"COC1=CC2=CC=C(C=C2C=C1)C(C)C(O)=O";"InChI=1S/C14H14O3/c1-9(14(15)16)10-3-4-12-8-13(17-2)6-5-11(12)7-10/h3-9H,1-2H3,(H,15,16)/t9-/m0/s1";"CMWTZPSULFXXJA-VIFPVBQESA-N";"230.263";"230.0942943";"2.97";"3.79";"3.96";"4.71";"1";"0";"0.0173"
602;602;"22224-92-6";"DTXSID3024102";"Fenamiphos";"Ethyl 3-methyl-4-(methylsulfanyl)phenyl N-propan-2-ylphosphoramidate";"C13H22NO3PS";"CCOP(=O)(NC(C)C)OC1=CC=C(SC)C(C)=C1";"InChI=1/C13H22NO3PS/c1-6-16-18(15,14-10(2)3)17-12-7-8-13(19-5)11(4)9-12/h7-10H,6H2,1-5H3,(H,14,15)";"ZCJPOPBZHLUFHF-UHFFFAOYSA-N";"303.36";"303.1058017";"4.58";"8.11";"N/A";"N/A";"0.81";"0.3";"0.2054"
603;603;"2226-96-2";"DTXSID4041280";"4-Hydroxy-2,2,6,6-tetramethylpiperidin-1-yl)oxidanyl";"(4-Hydroxy-2,2,6,6-tetramethylpiperidin-1-yl)oxidanyl";"C9H18NO2";"CC1(C)CC(O)CC(C)(C)N1O";"InChI=1S/C9H18NO2/c1-8(2)5-7(11)6-9(3,4)10(8)12/h7,11H,5-6H2,1-4H3";"UZFMOKQJFYMBGY-UHFFFAOYSA-N";"172.248";"172.1337538";"N/A";"N/A";"N/A";"N/A";"0.79";"N/A";"0.0803"
604;604;"2231-57-4";"DTXSID7027461";"Thiocarbazide";"Hydrazinecarbothiohydrazide";"CH6N4S";"NNC(=S)NN";"InChI=1S/CH6N4S/c2-4-1(6)5-3/h2-3H2,(H2,4,5,6)";"LJTFFORYSFGNCT-UHFFFAOYSA-N";"106.15";"106.0313174";"3.69";"3.5";"2";"2.46";"0.82";"0.45";"0.1794"
605;605;"2235-00-9";"DTXSID1041423";"1-Ethenylazepan-2-one";"1-Ethenylazepan-2-one";"C8H13NO";"C=CN1CCCCCC1=O";"InChI=1S/C8H13NO/c1-2-9-7-5-3-4-6-8(9)10/h2H,1,3-7H2";"JWYVGKFDLWWQJX-UHFFFAOYSA-N";"139.198";"139.099714";"N/A";"3.33";"2.54";"3.21";"0.76";"0.22";"0.0536"
606;606;"2235-43-0";"DTXSID8029232";"[Nitrilotris(methylene)]tris-phosphonic acid pentasodium salt";"Pentasodium [{[(hydroxyphosphinato)methyl]azanediyl}bis(methylene)]bis(phosphonate)";"C3H7NNa5O9P3";"OP(O)(=O)CN(CP(O)(O)=O)CP(O)(O)=O";"InChI=1S/C3H12NO9P3.5Na/c5-14(6,7)1-4(2-15(8,9)10)3-16(11,12)13;;;;;/h1-3H2,(H2,5,6,7)(H2,8,9,10)(H2,11,12,13);;;;;/q;5*+1/p-5";"OSBMVGFXROCQIZ-UHFFFAOYSA-I";"408.957";"408.8822132";"2.15";"N/A";"N/A";"N/A";"N/A";"0.51";"0.0387"
